atm_total_variance,log_moneyness,total_variance,implied_volatility_30d
0.001984862465753424,0.4999999999999999,0.006922191237065427,0.2902068114023102
0.001984862465753424,0.5499999999999999,0.007569749788698454,0.30347754847626623
0.001984862465753424,0.6,0.008217646219612403,0.3161982959135257
0.009831608383561643,-0.6,0.0712497962905396,0.9310598914865243
0.009831608383561643,-0.5499999999999999,0.06599477536794462,0.8960672037538961
0.009831608383561643,-0.5,0.060742564905716015,0.8596711811420757
0.009831608383561643,-0.44999999999999996,0.055494007701873016,0.8216916049870059
0.009831608383561643,-0.4,0.050250319272187524,0.781907209634418
0.009831608383561643,-0.35,0.045013318163218796,0.7400419161456299
0.009831608383561643,-0.3,0.03978584964180292,0.6957450471558785
0.009831608383561643,-0.25,0.03457262067755118,0.6485626813014088
0.009831608383561643,-0.2,0.029381993419510487,0.5978970813922557
0.009831608383561643,-0.15000000000000002,0.024230286407238424,0.542956552547931
0.009831608383561643,-0.10000000000000003,0.01915369181122444,0.48273862876636536
0.009831608383561643,-0.050000000000000044,0.014248135071005094,0.4163559895456795
0.009831608383561643,0.0,0.009831608383561643,0.345858210832127
0.009831608383561643,0.04999999999999993,0.0069448343673880475,0.29068107059666143
0.009831608383561643,0.09999999999999998,0.006438499839579058,0.2798840498877083
0.009831608383561643,0.1499999999999999,0.00711749962021742,0.2942723999618584
0.009831608383561643,0.19999999999999996,0.008165725137634416,0.31519780430900646
0.009831608383561643,0.25,0.009350983105449698,0.33729852423281964
0.009831608383561643,0.29999999999999993,0.010599300438602598,0.359107442607824
0.009831608383561643,0.35,0.011881354650464072,0.3802058410659234
0.009831608383561643,0.3999999999999999,0.013183446834854482,0.4004979440114471
0.009831608383561643,0.44999999999999984,0.014498374055743697,0.4199962908703857
0.009831608383561643,0.4999999999999999,0.01582200273899583,0.43874939695052495
0.009831608383561643,0.5499999999999999,0.017151796543168646,0.4568152704050277
0.009831608383561643,0.6,0.01848611494757739,0.474251408568133
0.21031396,-0.6,0.42300298815306225,2.2685978832446834
0.21031396,-0.5499999999999999,0.4039948927952117,2.217041090208992
0.21031396,-0.5,0.3850973563396836,2.1645672012666837
0.21031396,-0.44999999999999996,0.36632997066661976,2.1111642861488873
0.21031396,-0.4,0.34771693233290635,2.0568315463475275
0.21031396,-0.35,0.32928835746447976,2.0015847927291275
0.21031396,-0.3,0.311082013840676,1.9454642552344394
0.21031396,-0.25,0.2931455953309422,1.888545668813209
0.21031396,-0.2,0.2755396782660384,1.8309558757390818
0.21031396,-0.15000000000000002,0.2583414804525792,1.7728944353344092
0.21031396,-0.10000000000000003,0.24164943835405023,1.7146626976291706
0.21031396,-0.050000000000000044,0.22558832297685927,1.6567009173510432
0.21031396,0.0,0.21031396000000002,1.5996311595698138
0.21031396,0.04999999999999993,0.19601541244005083,1.5442973109758642
0.21031396,0.09999999999999998,0.18291076029946696,1.4917822395745906
0.21031396,0.1499999999999999,0.1712312692152797,1.4433688979095294
0.21031396,0.19999999999999996,0.16119025130725517,1.4004099605371296
0.21031396,0.25,0.1529402677558045,1.3641016302664628
0.21031396,0.29999999999999993,0.14653389231771408,1.335226206752569
0.21031396,0.35,0.14190849190944707,1.3139837587396603
0.21031396,0.3999999999999999,0.13890425837759648,1.300000696253951
0.21031396,0.44999999999999984,0.1373046245746145,1.292493558587873
0.21031396,0.4999999999999999,0.13687846869401715,1.2904862271422641
0.21031396,0.5499999999999999,0.13740987464377982,1.2929888404388188
0.21031396,0.6,0.13871271529484358,1.299104064122885
