date,regime,rho,target_skewness,fitted_skewness,skewness_error,feasible
2011-06-17,Unconstrained,-0.1154043555292945,-2.0060000000000002,-2.005999999935067,6.49333919966466e-11,True
2011-06-20,Unconstrained,-0.08569945056163693,-1.7439999999999998,-1.7439999999999989,8.881784197001252e-16,True
2011-06-21,Unconstrained,-0.07647065588420966,-1.6519999999999997,-1.652000000000203,-2.0339285811132868e-13,True
2011-06-22,Unconstrained,-0.058648020871277004,-1.4739999999999995,-1.4740000000082463,-8.246736626915663e-12,True
2011-06-23,Unconstrained,-0.07905586202767304,-1.6790000000000007,-1.6790000000000251,-2.4424906541753444e-14,True
2011-06-24,Unconstrained,-0.06921310249880401,-1.592,-1.591999999999999,1.1102230246251565e-15,True
2011-06-27,Unconstrained,-0.10773516487783961,-1.9459999999999993,-1.945999999991182,8.817391261572993e-12,True
2011-06-28,Unconstrained,-0.13677078583904131,-2.2150000000000007,-2.214999999997066,2.9345414986892138e-12,True
2011-06-29,Unconstrained,-0.20962815566132648,-2.872999999999999,-2.872999999999983,1.5987211554602254e-14,True
2011-06-30,Unconstrained,-0.13470185790581823,-2.2090000000000005,-2.209000000000001,-4.440892098500626e-16,True
2011-07-01,Unconstrained,-0.10952061523020241,-1.9629999999999996,-1.963000000000314,-3.1441516057384433e-13,True
2011-07-05,Unconstrained,-0.1313979909802807,-2.178,-2.1779999999999933,6.661338147750939e-15,True
2011-07-06,Unconstrained,-0.12862218912543077,-2.1510000000000007,-2.1509999999999954,5.329070518200751e-15,True
2011-07-07,Unconstrained,-0.13221643830491625,-2.186,-2.186000000000001,-8.881784197001252e-16,True
2011-07-08,Unconstrained,-0.10999150656182011,-1.9680000000000006,-1.9680000000002928,-2.922107000813412e-13,True
2011-07-11,Unconstrained,-0.14644928237507593,-2.308,-2.3079999999991183,8.815170815523743e-13,True
2011-07-12,Unconstrained,-0.10474756767580977,-1.9209999999999994,-1.9209999999990424,9.57012247226885e-13,True
2011-07-13,Unconstrained,-0.16819712567077943,-2.4790000000000005,-2.4789999999939027,6.09778894045121e-12,True
2011-07-14,Unconstrained,-0.19286793039748457,-2.6629999999999994,-2.6629999999980054,1.993960552226781e-12,True
2011-07-15,Unconstrained,-0.2223513615434975,-2.924000000000001,-2.9239999999999853,1.554312234475219e-14,True
2011-07-18,Unconstrained,-0.15970348957658528,-2.3920000000000003,-2.3919999999810955,1.8904877663317166e-11,True
2011-07-19,Unconstrained,-0.18271242228808254,-2.6120000000000005,-2.6119999999984014,1.5991652446700755e-12,True
2011-07-20,Unconstrained,-0.14590657901759668,-2.2969999999999997,-2.2969999999966393,3.360423050935424e-12,True
2011-07-21,Unconstrained,-0.1386176641850368,-2.242,-2.241999999999994,5.773159728050814e-15,True
2011-07-22,Unconstrained,-0.12969730467653628,-2.1590000000000003,-2.1590000002263525,-2.2635227026057692e-10,True
2011-07-25,Unconstrained,-0.10723261751674841,-1.9450000000000003,-1.944999999999855,1.4521717162097048e-13,True
2011-07-26,Unconstrained,-0.11489668249324506,-2.0120000000000005,-2.01199999999255,7.4504846736545e-12,True
2011-07-27,Unconstrained,-0.10925439763735849,-1.9439999999999997,-1.943999999851181,1.4881873511285448e-10,True
2011-07-28,Unconstrained,-0.1212022214853385,-2.036,-2.035999999782004,2.179958435988283e-10,True
2011-07-29,Unconstrained,-0.12738865528312407,-2.0650000000000004,-2.064999999681224,3.187765607037818e-10,True
2011-08-01,Unconstrained,-0.10046994420359216,-1.864,-1.8639999997878915,2.12108552943846e-10,True
2011-08-02,Unconstrained,-0.0711578417244584,-1.6079999999999999,-1.6079999997922356,2.0776425024848777e-10,True
2011-08-03,Unconstrained,-0.08432590031253005,-1.7269999999999996,-1.7269999998831276,1.168720675792656e-10,True
