date,regime,rho,eta,gamma,butterfly_free,calendar_free,arbitrage_free,min_butterfly_g,butterfly_violations,calendar_violations,min_calendar_slope,density_mass_VIX9D,density_mass_VIX,density_mass_VIX3M,density_mass_VIX6M,density_mass_VIX1Y,sufficient_conditions_hold,max_condition_1,max_condition_2,max_density_mass_error,density_valid
2020-04-06,No-arbitrage enforced,-0.39566392881244955,1.1257055870842532,0.5381008841136713,True,True,True,0.2563895920978702,0,0,0.011370357369863015,1.0000000002581912,1.000000036106528,1.0000004204692285,1.0000008725877232,1.0000012292671774,True,0.5324225583107033,2.617766261104824,1.229267177382809e-06,True
2020-04-07,No-arbitrage enforced,-0.32777443388816385,1.1257055870842532,0.5381008841136713,True,True,True,0.2572901020208147,0,0,0.012163260164383563,1.0000000001933473,1.000000032076388,1.0000003689763428,1.0000008138053464,1.00000124174078,True,0.5204535374862927,2.4792366385017632,1.2417407799780733e-06,True
2020-04-08,No-arbitrage enforced,-0.3385214548736724,1.1257055870842532,0.5381008841136713,True,True,True,0.25600441817717134,0,0,0.011000276876712328,1.0000000000411373,1.0000000205007364,1.0000003230405332,1.0000007601157845,1.0000011960200004,True,0.5151927649086491,2.552283344807144,1.196020000371334e-06,True
2020-04-09,No-arbitrage enforced,-0.37516134763951453,1.1257055870842532,0.5381008841136713,True,True,True,0.25531610247378855,0,0,0.010243199835616439,1.0000000000309117,1.0000000188231593,1.0000003241320585,1.0000007543046165,1.00000119511802,True,0.522314627405247,2.642912037646223,1.1951180201030809e-06,True
2020-04-13,No-arbitrage enforced,-0.33956543730727523,1.1257055870842532,0.5381008841136713,True,True,True,0.2558546621643993,0,0,0.009635347561643836,1.00000000003292,1.0000000142177181,1.0000002776373629,1.0000006904897565,1.000001151692916,True,0.5080074540774576,2.5612925094609302,1.1516929159238742e-06,True
2020-04-14,No-arbitrage enforced,-0.40127831969516775,1.1257055870842532,0.5381008841136713,True,True,True,0.2548195982270397,0,0,0.008005091260273973,1.000000000023093,1.0000000104692182,1.0000002268629669,1.000000649556127,1.000001122380693,True,0.5139955892642526,2.710625299664895,1.1223806930527047e-06,True
2020-04-15,No-arbitrage enforced,-0.41629376219354447,1.1257055870842532,0.5381008841136713,True,True,True,0.25520811369599994,0,0,0.009433468931506851,1.0000000000698428,1.000000020172025,1.000000316937851,1.000000775466188,1.0000012600013455,True,0.5422285610328487,2.7090409123049968,1.260001345482209e-06,True
2020-04-16,No-arbitrage enforced,-0.4104641865461099,1.1257055870842532,0.5381008841136713,True,True,True,0.25504855136625615,0,0,0.009180658109589039,1.000000000045542,1.0000000172367138,1.0000003103021011,1.0000007742736334,1.0000012697953897,True,0.5428832996478941,2.710010719782142,1.269795389724493e-06,True
2020-04-17,No-arbitrage enforced,-0.5238310607441901,1.1257055870842532,0.5381008841136713,True,True,True,0.2534844513432137,0,0,0.008734724219178083,1.0000000000298015,1.0000000210932467,1.000000336382365,1.0000008232994158,1.0000013280256166,True,0.5787824491194081,2.980717706389817,1.3280256165870696e-06,True
2020-04-20,No-arbitrage enforced,-0.5296553115263026,1.1257055870842532,0.5381008841136713,True,True,True,0.2546545764226732,0,0,0.011015908767123285,1.0000000003625096,1.000000052265878,1.000000468093354,1.000000973784964,1.0000013967136807,True,0.5982556671299928,2.900066271345842,1.3967136807124803e-06,True
2020-04-21,No-arbitrage enforced,-0.48431012031343335,1.1257055870842532,0.5381008841136713,True,True,True,0.2552978771216579,0,0,0.011852750301369862,1.0000000003671057,1.0000000538595475,1.0000005102873275,1.0000010395979517,1.00000147067239,True,0.6055246671766475,2.799302485326922,1.4706723900914653e-06,True
2020-04-22,No-arbitrage enforced,-0.5447027762511326,1.1257055870842532,0.5381008841136713,True,True,True,0.2539361687858028,0,0,0.010498086328767118,1.0000000001420561,1.0000000428655618,1.0000004795229056,1.000001021647668,1.0000014390231309,True,0.6175112177465398,2.971224281724778,1.4390231308780699e-06,True
2020-04-23,No-arbitrage enforced,-0.5064544011571219,1.1257055870842532,0.5381008841136713,True,True,True,0.25410241880910445,0,0,0.010255706712328767,1.0000000000777998,1.00000003346157,1.0000004438121377,1.0000009966452195,1.0000014489731281,True,0.6066820282149662,2.9076684951890472,1.4489731281486229e-06,True
2020-04-24,No-arbitrage enforced,-0.5125498430213101,1.1257055870842532,0.5381008841136713,True,True,True,0.25290376505703227,0,0,0.00812973189041096,1.000000000003749,1.000000013004847,1.0000003451120318,1.0000008906431481,1.0000013853671463,True,0.5905418508287491,3.020647757813249,1.3853671463337491e-06,True
2020-04-27,No-arbitrage enforced,-0.5829311065413252,1.1257055870842532,0.5381008841136713,True,True,True,0.25242318769135036,0,0,0.00667600824657534,1.0000000000068279,1.0000000104057807,1.0000003153541184,1.000000854223011,1.0000013426112286,True,0.5962622257048711,3.1660790493498587,1.342611228638546e-06,True
2020-04-28,No-arbitrage enforced,-0.5829220622259158,1.1257055870842532,0.5381008841136713,True,True,True,0.25255802328276544,0,0,0.0066677163287671235,1.0000000000111031,1.0000000110910476,1.0000003166502587,1.0000008447736919,1.0000013256876392,True,0.5912738764861213,3.1500595176318216,1.325687639219808e-06,True
2020-04-29,No-arbitrage enforced,-0.6787069522882364,1.1257055870842532,0.5381008841136713,True,True,True,0.2516370112985077,0,0,0.005847108657534248,1.000000000007362,1.0000000101492192,1.000000312607781,1.000000838338477,1.0000013068315994,True,0.6085725818612929,3.3879303259799696,1.3068315993791657e-06,True
2020-04-30,No-arbitrage enforced,-0.6260357019697587,1.1257055870842532,0.5381008841136713,True,True,True,0.2523363196151336,0,0,0.006919678191780819,1.0000000000203957,1.0000000154428,1.0000003357938123,1.0000008615702256,1.0000013339447373,True,0.6044900284573069,3.2290088784142945,1.333944737336168e-06,True
2020-05-01,No-arbitrage enforced,-0.6397766208350704,1.1257055870842532,0.5381008841136713,True,True,True,0.25257977418160915,0,0,0.008248180520547942,1.0000000000669584,1.000000029336336,1.0000004502913948,1.000001004008405,1.0000013815106135,True,0.6365618758483804,3.216157661156174,1.3815106134629218e-06,True
2020-05-04,No-arbitrage enforced,-0.6779947830718264,1.1257055870842532,0.5381008841136713,True,True,True,0.25229684142844644,0,0,0.0075355902739726,1.000000000087602,1.000000027522654,1.0000004438736312,1.0000010158665251,1.0000013499996458,True,0.648140001786794,3.292875589298996,1.3499996458499197e-06,True
2020-05-05,No-arbitrage enforced,-0.5525614983694526,1.1257055870842532,0.5381008841136713,True,True,True,0.2528560953981917,0,0,0.0065684323561643835,1.0000000000114992,1.0000000096052872,1.0000003006021991,1.000000832783253,1.000001342413016,True,0.5889346807918063,3.0785531422365238,1.3424130160810677e-06,True
2020-05-06,No-arbitrage enforced,-0.5661299317125585,1.1257055870842532,0.5381008841136713,True,True,True,0.25287560424570626,0,0,0.00672149819178082,1.0000000000185152,1.000000011542514,1.0000003150689543,1.000000862737693,1.000001366170427,True,0.5991349053541676,3.0939715126647283,1.366170427008484e-06,True
2020-05-07,No-arbitrage enforced,-0.6146697267211704,1.1257055870842532,0.5381008841136713,True,True,True,0.25202353956971774,0,0,0.005942094657534246,1.0000000000040676,1.0000000078142735,1.000000293830325,1.0000008483240352,1.00000134422736,True,0.605041598711858,3.2571478293371205,1.3442273600894339e-06,True
2020-05-08,No-arbitrage enforced,-0.6408630687579003,1.1257055870842532,0.5381008841136713,True,True,True,0.25133156278210406,0,0,0.004907069342465752,1.0000000000002547,1.0000000033744152,1.0000002361309916,1.0000007770345727,1.0000012938310077,True,0.5946895281902309,3.403249691663213,1.2938310076648918e-06,True
2020-05-11,No-arbitrage enforced,-0.54763025697635,1.1257055870842532,0.5381008841136713,True,True,True,0.25195153361738193,0,0,0.004558719698630136,1.000000000000203,1.000000001675957,1.000000155977475,1.0000006531006989,1.0000012058451668,True,0.554709624462675,3.1849671989913975,1.2058451668295334e-06,True
2020-05-12,No-arbitrage enforced,-0.4828403877635283,1.1257055870842532,0.5381008841136713,True,True,True,0.25333787638524347,0,0,0.006228285369863012,1.0000000000059521,1.000000005717058,1.0000002193294337,1.0000007307587668,1.0000012676330234,True,0.5568105576966226,2.9379400949388015,1.2676330234384636e-06,True
2020-05-13,No-arbitrage enforced,-0.4222008528713389,1.1257055870842532,0.5381008841136713,True,True,True,0.25394646407648386,0,0,0.007273210931506848,1.0000000000053557,1.0000000068883366,1.000000241804092,1.000000770189966,1.0000013059518906,True,0.5522367992433264,2.8012464496531373,1.3059518906288758e-06,True
2020-05-14,No-arbitrage enforced,-0.4378963302368594,1.1257055870842532,0.5381008841136713,True,True,True,0.2533603308351063,0,0,0.006268811671232877,1.000000000001508,1.00000000389301,1.0000002093674631,1.0000007302081895,1.0000012794774156,True,0.5503588121407436,2.87241399614743,1.2794774155722166e-06,True
